ID	RNA_LD03	RNA_LD03	RNA_LD03	RNA_LD06	RNA_LD06	RNA_LD06	RNA_LD09	RNA_LD09	RNA_LD09	RNA_LD12	RNA_LD12	RNA_LD12	RNA_LD15	RNA_LD15	RNA_LD15	RNA_LD18	RNA_LD18	RNA_LD18	RNA_LD21	RNA_LD21	RNA_LD21	RNA_LD24	RNA_LD24	RNA_LD24	RNA_mean.level	RNA_max.level	RNA_rhythm.pvalue_original	RNA_rhythm.pvalue_Brown	RNA_rhythm.pvalue
Ot03g01300	7.874611196	8.01761687	8.559047154	7.812892549	8.167715921	8.817879668	8.478966984	8.377719611	9.086891305	8.224991426	8.058800486	8.076519287	8.046838721	7.779184356	7.722262012	8.152190617	7.816877055	7.7849449	7.962268361	7.974414043	8.405856801	7.913941744	7.777707568	8.652673805	8.147617185	9.086891305	0.106609199263357	0.175860918644716	0.175860918644716
Ot03g02580	7.905807174	8.407316268	8.460667897	7.669694106	8.138827937	7.975533204	6.787483236	6.954182924	7.447211635	7.012998076	6.854436981	7.184890738	6.451736784	6.079527747	6.02054572	6.996388251	6.649007932	6.603237796	7.571465878	7.460034782	7.602346496	7.66304671	7.919466915	7.96833843	7.32434140070833	8.460667897	8.13479140029948e-07	8.13479140029948e-07	8.13479140029948e-07
Ot03g03840	7.690019066	7.730666533	7.776981031	7.498184745	7.116795409	7.146339041	4.686081545	4.918531663	5.254872344	6.783159056	5.687719858	5.7923073	7.468053327	7.747410062	7.708690771	7.460841386	7.831325369	7.73777038	8.091386557	8.358021833	8.340359802	7.979185596	8.108326538	8.107834525	7.20920265570833	8.358021833	0.0380203989642009	0.0380203989642009	0.0380203989642009
Ot03g04760	7.744897236	7.587812879	7.612532648	7.32941246	7.218236779	7.294424454	7.352140673	7.429881107	7.4565517165	7.368100849	7.086964609	7.241605615	6.861280797	6.653668419	6.709974487	6.862688789	6.545540434	6.747524568	7.090430379	7.100471662	7.013238338	7.733244542	7.695910077	7.76044934	7.22904095239583	7.76044934	7.09126434421354e-07	7.09126434421354e-07	7.09126434421354e-07
Ot06g01890	7.413915586	6.444583086	6.559015187	7.636201484	6.608454869	6.76545094	7.572406616	7.371774392	7.253278033	8.346710982	8.164031415	8.186009003	7.845235318	7.746465913	7.767561175	7.468386988	7.175025543	7.270390587	7.147748186	6.936820968	6.92072241	7.289244546	6.786167165	6.888241719	7.31516008795833	8.346710982	6.32919395742993e-07	6.32919395742993e-07	6.32919395742993e-07
Ot06g03170	7.498855596	7.10539526	6.933933504	6.461261393	6.526993571	6.392461184	6.50757761	6.218576347	6.448518041	8.040071269	8.009552288	8.244753294	8.118076696	8.091382784	7.845305515	8.588397936	8.511192956	8.240151978	8.159392874	8.153607642	8.331762465	7.656183098	7.091829116	7.279202251	7.51893477783333	8.588397936	6.68477071917335e-07	6.68477071917335e-07	6.68477071917335e-07
Ot06g03740	7.302881169	7.516189432	7.471670167	6.856731709	7.355702747	7.417941909	7.588342407	7.981938703	7.997674798	6.529872822	6.95769256	7.086628543	5.17226284	4.254695832	4.090005424	4.790970855	4.508422158	4.578789559	6.399758628	6.270223074	6.243292028	7.114112186	7.381547666	7.410500021	6.51157696820833	7.997674798	0.0058068543651625	0.0058068543651625	0.0058068543651625
Ot06g04740	7.683184481	8.043014947	8.11084192	7.917824571	8.302091242	8.450058483	7.947936407	7.989637852	7.761495426	8.050262995	7.89084732	7.707987174	7.8071355	7.627689794	7.615303525	7.631371803	7.473711286	7.485560441	7.448574704	7.329193622	7.387266785	7.662884078	7.458688341	7.489524284	7.76133695754167	8.450058483	1.15681515331484e-06	1.15681515331484e-06	1.15681515331484e-06
Ot06g01930	7.44803237	7.555664847	7.840679489	7.261089365	7.933029297	8.05580639	7.941105907	7.853620952	8.324738189	7.836733506	8.572196118	9.461898798	7.323588322	7.086845338	7.032185704	7.081546523	7.033487189	7.025083278	7.381131609	7.33442955	7.269494311	7.754961862	7.568005593	7.755256798	7.65544213770833	9.461898798	1.57974400306231e-05	1.57974400306231e-05	1.57974400306231e-05
Ot06g03260	7.142441072	6.869821427	6.978816021	7.210206574	7.394461289	7.239466525	7.380302832	7.748128163	7.457333477	7.142439268	7.474447726	7.232974243	5.848651251	5.802085017	5.899162083	5.457414213	5.147584001	5.265786023	6.056890768	5.466150015	5.530064154	7.036237069	6.479018734	6.403905495	6.56932447666667	7.748128163	7.0001760473666e-07	7.0001760473666e-07	7.0001760473666e-07
Ot10g03500	7.084130539	7.659484414	7.703706376	7.103202003	7.675627372	8.020615751	7.557006912	7.883863834	7.860223578	7.156966628	7.644569911	7.883674017	6.780330299	6.801382685	6.695137246	6.657730382	6.780564055	6.707608781	7.066596384	7.305039499	7.57730637	7.423116212	7.291807386	7.409888051	7.32206577854167	8.020615751	8.70640131653434e-07	8.70640131653434e-07	8.70640131653434e-07
Ot10g01900	7.991134745	8.258798618	8.375038894	8.03744176	8.242295332	8.176553408	8.803779602	8.7993636	8.88490471	7.794443485	7.947643888	7.0894910285	7.421370021	7.505393273	7.487760159	7.390917611	7.71995026	7.390930147	8.173375116	8.29654275	8.664912717	7.858385322	8.019944221	8.180834425	8.0213002121875	8.88490471	0.0216111523716979	0.0216111523716979	0.0216111523716979
Ot09g01820	7.386266816	7.611489	7.705948871	7.66158135	7.621596004	7.62443563	8.425226705	8.129013769	8.346792142	7.723185591	7.878364167	8.046657116	6.680123095	6.40826326	6.572666031	6.015531405	5.812506814	6.208110569	6.699504649	6.571864706	6.865656044	7.02622834	6.974836259	7.31248532	7.221180568875	8.425226705	6.98958803956453e-07	6.98958803956453e-07	6.98958803956453e-07
Ot04g04310	4.554991655	3.452266513	3.291805761	5.784084951	3.662676541	3.902230361	8.089105279	8.03309478	8.1484330115	8.157100841	8.210098728	8.3841866175	7.847409182	7.792454473	7.89785233	7.429044154	7.377487204	7.724609649	6.27356833	5.232416846	5.353789181	5.485429908	4.574119148	4.838256577	6.31235466754167	8.3841866175	8.97315198543397e-07	8.97315198543397e-07	8.97315198543397e-07
Ot13g01440	6.746274371	7.265638635	6.982388395	7.486073925	7.535771985	7.381680845	8.332722955	7.656269277	7.757741848	7.786728227	7.42372373	7.002974532	7.459850393	7.41455414	7.329413831	7.545297385	7.239859237	7.3220712675	7.486998259	7.401369973	7.244631145	7.453193679	7.421172216	7.126792776	7.40846637610417	8.332722955	0.0990270741060938	1.73597263238376e-06	1.73597263238376e-06
Ot13g02250	7.241731172	7.217318106	NA	7.196667925	7.38043956	NA	6.702750024	7.262943106	7.593179482	7.108994807	7.347180888	6.984992731	7.187208324	7.110375093	7.285787136	6.974907485	7.271519389	6.88176381	7.170481542	7.350300495	6.882816491	7.196392782	7.309446341	NA	7.17415222328571	7.593179482	0.413250193229244	0.413250193229244	0.413250193229244
Ot07g01740	6.36595603	6.306020006	6.350129916	5.894365215	5.15499159	5.288420316	4.781745192	4.400869352	4.533501337	7.377512591	6.98538399	7.196512908	8.112850257	8.085722862	8.021944395	8.496002987	8.532943281	8.488498834	8.604619456	8.785786126	8.859767537	7.378226868	7.377827792	7.43205448	7.03381888825	8.859767537	0.00333251212065853	0.00333251212065853	0.00333251212065853
Ot04g04330	7.671230788	7.943295963	7.941205504	8.265585674	8.53270734	8.804469689	8.023526189	7.949722753	7.938209931	8.218702891	8.1518911	8.358601822	7.31942324	7.067255763	7.141593372	6.597818367	6.446580539	6.632393901	6.596215304	6.3785809	6.124719776	7.162440448	7.120683324	7.106485011	7.47888914954167	8.804469689	7.15389755285171e-07	7.15389755285171e-07	7.15389755285171e-07
Ot01g04550	7.314866503	7.732033279	7.966620212	6.418624275	6.636765817	6.860722379	6.668867777	6.366947929	6.29090678	7.231543105	6.894655809	6.800885668	8.072129543	7.951010324	7.678208237	8.025751199	8.057962233	7.621247551	8.265559095	8.474279019	8.799901693	8.11538919	7.916171937	8.144335429	7.51272437429167	8.799901693	6.55629985219868e-07	6.55629985219868e-07	6.55629985219868e-07
Ot16g02340	7.095747042	7.235983095	NA	6.710178948	6.861675719	NA	NA	6.773590978	8.037532104	7.984680169	6.860734806	6.175013648	8.248222556	8.053687317	7.9541570385	8.551765289	8.052361201	7.940642438	8.223788146	8.148911327	8.891187201	8.133647925	7.636061386	8.029405627	7.69518923621429	8.891187201	5.99314104757238e-05	8.56388530224198e-09	8.56388530224198e-09
Ot04g04370	7.110984342	7.395458001	7.451980616	7.819805764	8.095362491	8.216762848	8.350466572	8.308278929	8.345749211	8.223890602	8.201739054	8.235630517	7.365340775	7.097642459	7.23975442	6.761861786	6.911180161	7.1102366965	6.686645095	6.605905458	6.611669448	6.70963878	6.48506656	6.426263771	7.40697143152083	8.350466572	0.00323405979340128	0.00323405979340128	0.00323405979340128
Ot15g02400	7.523574291	7.940042397	7.917992838	7.662288304	8.104978498	8.191275048	7.793189662	7.812298278	8.09757854	7.320512882	8.117549731	8.287592687	6.897613486	6.245914298	6.307784067	6.911436239	6.351589319	6.403177371	7.332634876	7.352206842	7.3951503	7.714340004	7.48181663	7.604934716	7.44864463766667	8.287592687	6.538153261959e-07	6.538153261959e-07	6.538153261959e-07
Ot14g02810	7.319592618	6.759768156	6.662825101	7.453400802	6.866566462	6.840794219	7.440044827	7.351850995	7.312063492	8.0113553	7.559640359	7.6402720355	7.336667818	7.201727378	7.29467965	6.957682674	6.669013964	7.034658508	7.434855406	7.209447248	7.363393173	7.031043716	6.709134393	6.808058737	7.17785570964583	8.0113553	0.0346162855987513	0.0346162855987513	0.0346162855987513
Ot03g00670	7.748452845	7.577902019	7.52897985	7.633856723	7.10206409	7.117567322	7.084885782	6.735891707	6.63506852	7.758773409	7.432753692	7.580812222	7.594311568	7.439671346	7.439197465	7.576645876	7.57218569	7.665519803	7.45051879	7.344759369	7.392858422	7.627022489	7.665580193	7.590650915	7.42899708779167	7.758773409	0.0730598942455314	0.0730598942455314	0.0730598942455314
Ot03g02240	6.908525791	6.811277289	6.744043861	6.824531875	6.786113369	6.546083863	8.248665556	7.450920402	7.454605229	8.838736927	8.324374658	9.000360699	8.238692973	8.05239646	8.097395364	7.909656883	7.60092436	7.650680813	7.370821914	7.256874812	7.397755702	7.370454557	7.170237302	7.216166253	7.552929038	9.000360699	2.20214639881845e-05	2.20214639881845e-05	2.20214639881845e-05
Ot03g03370	7.479794534	7.089301964	7.046011531	6.373957805	5.780058126	5.86805385	5.767910861	4.72402672	4.890145519	7.622825252	7.713213673	7.767128611	8.094186312	8.129181999	8.153767858	8.061887963	8.068719749	8.144499558	7.890227186	8.092940823	8.11048966	7.829235391	7.708827378	7.900784066	7.26279901620833	8.153767858	0.0220700646157128	0.0220700646157128	0.0220700646157128
Ot03g04330	6.899821189	6.603620372	6.503395192	7.027141932	6.879197953	6.778479521	7.404707577	7.431348698	7.605177068	7.7285689	8.249586963	8.218118335	7.202084019	7.225957609	6.990295924	7.008344015	6.740769127	6.594475653	7.336742867	7.456611587	7.353407623	7.07585613	6.779332653	6.801764325	7.16228355133333	8.249586963	0.046949242226881	0.046949242226881	0.046949242226881
Ot03g00350	6.01238047	4.851542261	4.916570955	4.614369687	3.116190537	3.107265937	6.757493544	5.647358583	5.451862076	7.862016849	NA	7.65638907	7.94164361	8.029397154	8.105844933	7.777676562	7.41598645	7.592749986	8.073842143	8.197141828	8.410873072	7.445434941	7.090533437	7.252961599	6.66641416017391	8.410873072	7.25468193828958e-05	7.25468193828958e-05	7.25468193828958e-05
Ot03g02260	7.6262383	7.719642443	8.33852174	7.296543843	7.620073046	8.200830564	7.940071822	7.534003568	6.974980303	7.865071443	7.428764637	7.934859807	7.899664392	7.359802368	7.430628777	7.852274441	7.553896038	7.43251573	7.750210913	7.567892816	8.208586795	7.792393475	7.626983743	8.321457365	7.719829515375	8.33852174	0.33942229716584	0.33942229716584	0.33942229716584
Ot03g03440	5.154973582	3.769581441	3.886626676	3.704540227	2.60527407	2.630615508	5.950549416	3.381032319	3.443590218	8.303411342	7.7229204	7.998758608	8.05328353	7.98970127	8.064614609	7.74276056	7.574799381	7.921875643	7.849372104	7.72637749	7.965848608	7.298114931	6.362688917	6.58464908	6.23691499708333	8.303411342	0.00606644069153427	0.00606644069153427	0.00606644069153427
Ot18g00430	7.936073718	7.512279291	7.518755788	8.087916624	8.130172651	8.046056156	8.492575009	8.09856043	8.175167279	8.117767566	7.457343859	7.406244037	6.627907166	6.417129643	6.342303851	6.662126967	6.176122159	6.004844011	6.711467195	6.552466583	6.470266437	7.264063698	7.094782114	7.039829749	7.26425924920833	8.492575009	6.81461063651234e-07	6.81461063651234e-07	6.81461063651234e-07
Ot19g00680	7.637182877	7.665017208	7.760458486	8.078695534	8.611698781	8.828057785	8.352200433	7.942429898	8.528712932	8.281012847	8.13301519	8.480551666	7.399183971	7.294584664	7.282375228	6.387234557	6.695204158	6.689747863	5.713103839	5.074259312	4.651335748	6.483907573	6.385154298	5.940034142	7.26229829125	8.828057785	6.29834783511437e-07	6.29834783511437e-07	6.29834783511437e-07
Ot19g01120	7.47905424	7.789236957	7.681444851	7.701935955	8.44377302	8.448979482	8.660204465	8.842175872	9.124538934	8.012860286	8.028308098	8.159718203	7.794956132	7.759865754	7.413221306	7.642959216	7.568042598	7.172753239	7.962610797	7.520902125	7.683468551	7.702930881	7.470183749	7.344915136	7.89204332695833	9.124538934	7.03629866203637e-07	7.03629866203637e-07	7.03629866203637e-07
Ot18g00590	7.589928467	7.754587772	7.688911787	7.99109647	8.096814259	8.257399258	8.350621505	8.215320247	8.474137519	8.219514238	7.882910396	7.98702364	7.863761042	7.725357236	7.647557559	7.626937537	7.57296383	7.457286873	7.932638576	7.602388814	7.965148958	7.854583345	7.626457857	7.753820698	7.88071532845833	8.474137519	2.63262453632482e-05	2.63262453632482e-05	2.63262453632482e-05
Ot18g00400	7.383733881	5.913248204	5.9914599335	7.492132728	5.9745364895	5.8427662985	7.38466498	NA	NA	8.080936579	NA	7.77001555	7.413797992	NA	7.5138929745	7.485177819	NA	6.51462994	8.984653641	NA	NA	7.702188821	6.8411248335	7.023979648	7.1360553125	8.984653641	0.221184498297514	0.221184498297514	0.221184498297514
Ot19g00750	7.632684078	7.890011427	7.791628331	8.277369486	8.866077907	8.998045508	8.63008887	8.465058576	9.049181316	8.255229119	8.569254343	8.767872437	7.378237042	6.982203002	7.046691383	6.854363555	6.550727733	6.912222394	6.694440293	5.865289928	5.556991522	6.894709823	6.832459364	6.373359669	7.54725821275	9.049181316	1.07906018882422e-06	1.07906018882422e-06	1.07906018882422e-06
Ot19g01140	7.510971965	7.745568375	7.609222731	7.779347567	8.126488634	8.023128378	8.345051054	8.208671216	8.052591833	8.209364702	7.864349229	7.638267269	7.721519113	7.880819501	7.973265763	7.815523708	7.650148921	7.480548023	7.886055395	7.734160406	8.006185835	7.902579118	7.793959878	7.547419914	7.85438368866667	8.345051054	0.0517801186561423	0.0517801186561423	0.0517801186561423
Ot17g02350	8.105425251	8.830082555	9.165371316	7.740100916	8.222777962	8.219014538	7.014874436	6.366731923	5.508453418	6.812611027	6.601809391	6.633403493	7.245368951	7.124776303	7.188169368	8.049624622	7.709035829	7.717385229	8.217834558	8.181702215	8.414505797	8.453269615	8.670082101	8.626644634	7.700793977	9.165371316	0.00416208792535377	0.00416208792535377	0.00416208792535377
Ot18g00370	8.07961251	8.146588768	8.1022359955	8.150314675	8.164433389	8.057964135	7.554404695	7.549996451	7.514139886	6.165549589	6.105329443	6.096928196	4.224663439	3.844985816	3.522349701	4.168672188	3.733770238	3.42641246	6.591814549	6.47729601	6.213228674	7.695239185	7.785465208	7.784996456	6.46484965235417	8.164433389	0.0312930473458363	0.0312930473458363	0.0312930473458363
Ot19g01170	7.532227501	7.672143412	7.512347337	7.578797735	8.150030458	8.122489505	8.248036307	8.388453244	8.828074176	7.640852168	8.038780572	8.064554088	8.047360663	7.972277351	7.505744963	7.999143329	7.388848814	7.470918207	7.839413033	7.477754273	6.871388138	7.684634988	7.540577059	7.116817055	7.778819349	8.828074176	6.30422162920547e-07	6.30422162920547e-07	6.30422162920547e-07
Ot17g02390	7.772720125	7.583633655	7.453387154	7.437867196	7.507132315	7.42938243	6.916051116	6.654921601	6.49304488	7.874501351	7.36362827	7.510793108	7.92649251	7.908583565	7.705473314	8.06717596	8.077645446	7.929466524	8.10405239	8.146005551	8.265788484	8.068353467	7.744007904	7.758807155	7.65412147795833	8.265788484	6.38140778286341e-07	9.01103261672734e-08	9.01103261672734e-08
Ot18g00340	8.452565662	8.549186439	8.581694054	7.907165199	7.945147731	7.726893811	6.951856108	6.645644509	6.831520591	7.226819925	6.96539308	7.148676585	7.737467737	7.532616513	7.584497263	7.785977574	7.591144502	7.701228397	7.861748991	7.622798593	7.653910551	8.201601432	8.081531983	8.202245852	7.68705554508333	8.581694054	0.00135856949825069	0.00135856949825069	0.00135856949825069
Ot19g01210	7.609595596	7.419352398	NA	7.772279166	8.02171774	7.928116153	8.550542729	8.263174373	8.039741788	8.749365396	8.629405698	8.337785637	8.431621448	7.991633726	7.861106516	7.887671895	7.375468527	7.3653739085	7.55762049	7.367281981	6.802816149	7.999198169	7.566071986	NA	7.88758824861364	8.749365396	6.97356039266111e-05	6.97356039266111e-05	6.97356039266111e-05
Ot14g01380	7.966108195	7.931275256	7.932692117	8.050337006	7.835386789	7.773634159	6.603365606	6.294189514	6.284538079	7.933142407	7.510544139	7.473364474	7.508694337	7.559627809	7.569907047	7.387519415	7.467895778	7.501866996	7.744744731	7.462972846	7.483945197	7.806161813	7.863711275	7.825264262	7.53212038529167	8.050337006	8.23400817710572e-06	8.23400817710572e-06	8.23400817710572e-06
Ot08g03280	7.384998466	7.429485281	6.778503783	7.08449385	7.626725638	7.290322705	7.701066301	7.544320482	8.004557056	7.702511288	7.521719559	7.113113702	7.970804999	7.601654322	7.324792022	8.118794873	7.896398817	7.295483519	8.01654217	7.995717966	8.389012072	7.90423294	7.614297658	6.855666648	7.59021733820833	8.389012072	0.111896892755512	0.111896892755512	0.111896892755512
Ot04g04570	6.294119327	6.228084264	6.293194743	4.660928276	4.421197231	4.268241416	4.380766301	4.119611627	4.118309627	5.970844029	5.100830505	4.748536416	8.059194755	8.183715471	8.007119174	8.626027948	8.74121909	8.592968968	8.774329909	8.831774211	9.100518706	7.520247952	7.428639359	7.486882005	6.66488755458333	9.100518706	9.28839391450226e-07	9.28839391450226e-07	9.28839391450226e-07
Ot14g02310	7.377101473	7.519389412	7.405310608	7.0329721	7.294924678	7.297672647	7.522305217	7.82191559	7.751053024	7.258259351	7.43515188	7.675659889	6.019995745	5.592970003	5.617795543	5.347955402	5.206036298	5.503461239	6.692092018	7.130921306	6.894368247	7.305112081	7.471860258	7.52950855	6.90432468995833	7.82191559	0.0475738763449907	0.0475738763449907	0.0475738763449907
Ot14g01400	6.933692459	5.95019372	5.954115524	7.114655494	6.195535625	6.255167461	7.502072551	6.890256435	6.747995501	8.109829534	7.58136671	7.777895872	8.379272114	8.26498186	8.310807851	8.284624836	8.129029784	8.094354107	7.770200815	7.56306168	7.725905959	7.364027817	6.643348661	6.779998159	7.34676627204167	8.379272114	7.73275499746208e-07	7.73275499746208e-07	7.73275499746208e-07
Ot06g00900	5.19061824	5.081170745	4.840373183	5.117636631	5.297803636	4.641451007	5.372823932	5.388028409	5.391675671	7.628386306	7.211348027	7.647282216	8.309238974	8.311561617	8.316538829	8.522098596	8.532576609	8.6153407495	8.368307372	8.334625573	8.491099964	7.316904799	6.646883006	6.731365936	6.8877141678125	8.6153407495	7.64118421954054e-07	7.64118421954054e-07	7.64118421954054e-07
Ot16g00900	7.445159818	7.388168273	7.389677838	7.12009578	7.310810447	7.519264555	5.502139172	5.145030498	4.558595449	8.374669049	7.773072879	7.999565818	8.202072381	8.430969448	8.44327353	7.843543411	7.835583271	7.816934028	7.638611366	7.409863015	7.264141829	7.86528614	7.754572788	7.840078271	7.41129912725	8.44327353	0.00581248392557508	0.00581248392557508	0.00581248392557508
Ot16g01380	7.450744872	6.949999757	7.173955024	6.31158939	5.590368592	5.627406857	7.030834456	6.027972474	5.838184354	7.002481514	6.946291396	6.980130649	6.949676161	6.700501738	6.65484529	7.561441387	7.33333307	7.478660543	8.539432268	8.612606532	8.657915005	8.515624315	8.122322808	8.211947722	7.17784442391667	8.657915005	7.18051549245468e-07	7.18051549245468e-07	7.18051549245468e-07
Ot16g00030	3.625096247	2.860685121	2.244143051	3.093458841	2.149371321	1.843219673	2.844014716	1.978083765	2.0028557975	8.217925569	7.838360516	7.710688698	8.581908134	9.013672326	8.981125438	8.454532337	8.474726027	8.4846326355	8.676368075	8.03158872	8.366870166	6.336906216	4.981346777	5.044404284	5.826499352125	9.013672326	8.98610375477747e-07	8.98610375477747e-07	8.98610375477747e-07
Ot16g00510	7.20800134	7.007230229	7.028857925	7.155880547	7.524467312	7.414165023	7.761719131	7.867846836	7.71210582	6.75271523	7.408801835	7.330744248	4.270723122	3.580567669	3.785122604	3.298917983	2.870767856	3.31412913	5.569801598	4.701777053	4.87268994	7.183890669	6.585312028	6.686259661	6.037187282875	7.867846836	0.0102794781977603	0.0102794781977603	0.0102794781977603
Ot16g00930	7.713102288	7.753218133	7.936220299	7.365269425	6.991399172	7.093505822	6.712339012	6.524677374	6.461455523	7.90702716	7.705641942	7.759848693	7.797283723	7.524205352	7.404224545	7.893672704	7.851129876	7.623125958	8.179968713	8.31645564	8.312918414	8.354942151	8.36313785	8.508902124	7.66890299554167	8.508902124	7.61170140012467e-07	7.61170140012467e-07	7.61170140012467e-07
Ot16g01420	7.207821082	7.34710038	7.362297929	7.040150887	7.133900512	7.230723626	5.271023731	5.495058378	5.133526229	7.467822343	6.803511381	6.932842466	7.59519921	7.515966821	7.36721331	8.333551008	8.537003722	8.228334	8.661603218	8.44205311	8.590707006	7.754460609	7.617920047	7.465916867	7.35565449466667	8.661603218	0.00269361422617528	0.00269361422617528	0.00269361422617528
Ot16g00040	7.485310606	7.623255998	8.014479981	7.432363001	7.630121475	7.33082028	7.67513996	7.25480483	6.758897862	8.065548704	7.673048465	7.053434424	8.058552338	7.572841329	7.242182983	7.788542394	7.507125846	7.054756227	7.810858311	7.482297075	7.973503261	7.627287215	7.475620529	7.808868801	7.558319245625	8.065548704	0.401972602430997	0.401972602430997	0.401972602430997
Ot16g00580	7.262312306	7.381072796	7.463771042	7.472465104	7.662904504	7.567168064	7.940601899	7.716289599	8.076269232	7.845975167	7.46108912	7.689747296	7.973710371	7.760573686	7.485475637	8.030005648	7.761959176	7.490693447	7.685210331	7.560157804	7.641999065	7.45531955	7.303172834	7.328794408	7.62569742025	8.076269232	0.00710635509362042	0.00710635509362042	0.00710635509362042
Ot16g00950	7.371011994	7.752317895	7.947465983	7.192162577	7.252549326	7.202796951	7.60836032	6.910540626	6.184703129	8.253332394	7.59350304	7.765137916	8.335175473	8.227947893	7.656430337	8.689238064	8.434428753	7.607452243	8.603804536	8.401865022	9.090309444	7.858386456	7.996671725	8.061343253	7.83320563958333	9.090309444	7.80439821860288e-07	7.80439821860288e-07	7.80439821860288e-07
Ot16g01440	7.287376874	7.203525584	7.135300315	8.830853962	8.660738576	8.418489016	8.341921981	7.972534932	8.21018718	8.477726117	8.388419959	NA	6.818258908	6.602861153	6.719560369	4.119965362	3.933912899	4.036908477	2.992421303	2.754639561	2.531750294	4.718013409	4.591351039	4.216435596	6.21578925504348	8.830853962	9.83329390068014e-07	9.83329390068014e-07	9.83329390068014e-07
Ot16g00080	7.782022876	8.068378411	8.15771754	7.905482644	8.395944415	8.434704078	8.622870414	8.387120315	8.825510956	8.180505654	8.258559741	8.488423108	7.672711394	7.272917815	7.140911933	7.219283516	6.891675308	6.88720718	7.368140415	7.180420994	7.091022083	7.681622799	7.576350703	7.565635329	7.793964150875	8.825510956	5.9721818464248e-07	5.9721818464248e-07	5.9721818464248e-07
Ot16g00590	7.149480831	6.856732115	6.710774775	7.128107555	6.966978383	6.70790595	7.621610397	6.708757165	6.512190242	7.799031509	7.307953507	7.215597786	8.236859708	8.001523437	7.760311031	8.705906571	8.778483686	8.224892103	8.676669579	8.479679011	8.932740036	7.813902514	7.364138118	7.324554791	7.62436586666667	8.932740036	0.00333256107703528	0.00333256107703528	0.00333256107703528
Ot16g00780	7.650200722	7.686061438	7.747886319	7.709460433	7.617868769	7.632010696	7.67656054	7.74821508	8.113682413	7.082778775	6.928009169	7.265680548	6.875938357	6.687863857	6.724498219	7.150036915	6.988345843	7.01193314	7.472864131	7.585745074	7.586319757	7.707393767	7.7315395	7.809353337	7.424593616625	8.113682413	6.63614833165439e-07	6.63614833165439e-07	6.63614833165439e-07
Ot16g01500	7.512297063	7.333807475	7.432276252	7.69455172	7.747884606	7.486057079	8.078193333	7.938442606	8.23233224	8.18923315	7.968248157	7.754404544	7.877536394	7.952038474	7.731739692	8.143702293	8.131410327	7.780382754	8.069992063	7.864143347	8.079869518	7.597011233	7.355043996	7.463938726	7.80893904341667	8.23233224	0.00579279772417183	0.000253859904609765	0.000253859904609765
Ot18g00650	8.048261171	8.083265483	8.101452669	7.994341655	7.870568922	7.92494201	7.460048402	7.534057667	7.71263108	6.984267403	6.713453022	7.008489815	6.763236166	6.819717412	6.89800541	7.534029108	7.189539566	7.354278632	7.528162779	7.192232028	6.999106397	7.965240799	8.141292582	8.202912482	7.5009805275	8.202912482	8.50293261716322e-07	8.50293261716322e-07	8.50293261716322e-07
Ot18g00470	5.94002985	5.30326594	4.751708891	5.363845089	5.30428634	5.092390629	5.485085075	5.158032571	5.170443733	7.608462551	7.673833235	7.652503946	8.436123315	8.469701071	8.15984611	8.698442456	8.582201164	8.240578954	8.591308399	8.312105707	8.295088226	7.597713319	6.38831219	6.376817676	6.94383860154167	8.698442456	9.93188095103824e-07	9.93188095103824e-07	9.93188095103824e-07
Ot18g00040	8.054003536	8.33878874	8.433364765	7.994373241	8.621153194	8.823281717	8.164416209	8.679553897	8.841137184	7.15273691	6.90806659	7.071340454	6.930716022	6.54542241	6.249445936	7.415766006	6.959498558	6.652562407	7.676787486	7.519283182	7.468419009	8.069552997	8.110316091	8.211023656	7.70379209154167	8.841137184	0.00333068449389576	0.00333068449389576	0.00333068449389576
Ot19g00300	7.707000657	8.270085827	8.332839875	6.238153795	7.625464376	7.594798957	7.186776689	7.707957993	7.809735934	4.793047256	4.982790026	4.97995385	6.728300645	6.593366554	6.557346862	7.592620593	7.535482922	7.391813331	7.313209908	6.872260479	6.93188964	7.63136411	8.05890179	8.018702723	7.10224436633333	8.332839875	0.00215463813726842	0.00215463813726842	0.00215463813726842
Ot18g00450	6.792886521	6.836005884	6.856278514	6.266750309	5.966090839	5.894244051	6.575215	6.368210423	6.590528732	7.306618276	6.666519282	6.78808507	8.028425037	8.12743862	8.118965429	8.30043327	8.153112878	8.262231532	7.6219481	7.081016735	7.251169545	6.981066543	7.099454827	7.105512608	7.12659200104167	8.30043327	7.04737213777797e-07	7.04737213777797e-07	7.04737213777797e-07
Ot19g00070	6.75545221	7.787480071	NA	6.389953888	7.570310325	7.592117353	7.694392034	7.522453377	6.97957978	7.539545323	7.469101077	7.330747717	7.918792217	7.456761002	6.572676543	8.019481084	7.371298938	6.827236567	7.6942445	7.430298687	7.749619829	7.758022711	7.291096545	7.075906101	7.382459473	8.019481084	0.81957524593041	0.81957524593041	0.81957524593041
Ot19g01070	7.068259838	7.772549599	8.169942835	6.940677251	8.708902687	8.778704682	7.660240531	9.093452082	9.371650421	7.607289583	8.271167624	9.027658144	7.272181312	7.40288193	7.051655867	6.99289628	6.964897054	6.852380124	6.981449276	6.720450336	6.270275853	7.232020291	7.113934303	7.379665753	7.61271598566667	9.371650421	0.00143198899917255	0.00143198899917255	0.00143198899917255
