AFFY.ATH1	RNA_LD00	RNA_LD04	RNA_LD08	RNA_LD12	RNA_LD16	RNA_LD20	RNA_LD24	RNA_LD28	RNA_LD32	RNA_LD36	RNA_LD40	RNA_LD44	RNA_LD48	RNA_LD52	RNA_LD56	RNA_LD60	RNA_LD64	RNA_LD68	RNA_mean.level	RNA_max.level	RNA_phase	RNA_rhythm.pvalue
249898_at	177.8	170.8	112.4	132.8	142.5	158.5	188.2	176.1	150.4	124.4	188.3	250.6	130.6	170	114.5	130	173.2	170.8	158.994444444444	250.6	20.0230261752616	0.0153316700075106
249899_at	314.1	379.9	279.3	286.2	242.1	291.3	316.7	337.4	325	388.3	418.5	356.2	338.1	375.1	337.8	290.4	339	342.4	330.988888888889	418.5	18.4109790279349	0.72047120959571
249900_at	253	291.2	295.2	329.2	258.5	261.1	281.5	339.4	353.9	343.3	330.8	335	335.4	325.4	424	439.9	480.7	443.7	340.066666666667	480.7	17.9999460159307	0.374857803631221
249901_at	341.6	578.4	536.2	579.2	371.5	295.7	318.9	452.1	588	620.1	622.5	439.3	359.1	543	493.2	482.2	342.4	377.3	463.372222222222	622.5	15.1867381620172	0.0205449938589785
249902_at	13.7	23.6	11.2	15.9	22.1	20.2	21.2	15.5	15.6	15.9	19.3	17.8	22.6	17.7	30.6	20.5	20.8	26	19.4555555555556	30.6	22.1772278801566	0.205217220208925
249903_at	25.4	25.9	22.1	19.7	27.6	28.2	25.6	23.5	20.8	20.6	22.7	20.8	29.5	36	34.9	19.1	33.6	19.3	25.2944444444444	36	14.5819346106836	0.458618636861935
249904_at	30.4	39.3	56.7	52.1	39.4	69.8	42.9	74.3	48.4	50.3	60.8	67	45.7	77.4	86.5	70.2	117.5	84.7	61.8555555555556	117.5	18.4850885265431	0.740337124182573
249905_at	28.2	28	27.2	19.1	27.3	28.9	31.9	32.2	26.7	24.5	26.8	29.1	40.9	37.3	31.3	43.5	57.7	36.4	32.0555555555556	57.7	21.9999460159307	0.0771185086478688
249906_at	39.9	41.9	39.3	36.3	37.9	38.5	40.6	26	29.4	44.4	44.2	30.7	63.2	69.7	35.3	53.4	59.9	34.6	42.5111111111111	69.7	3.9555347850298	0.868523701380885
249907_at	1.6	6.2	4.2	3.4	1	2.5	6.3	8.3	3.5	1.4	8.7	2.2	2.2	3.3	2.9	1.9	1.6	2.9	3.56111111111111	8.7	8.8700633606616	0.0261167516519854
249908_at	36	50.3	38.4	44.5	41.4	45.9	45.6	75.3	59	62.1	65.9	53.5	39.5	68.4	73.8	71.3	70.4	72.8	56.3388888888889	75.3	17.9999460159307	0.528080099901711
249909_s_at	140.9	114	128.8	111.6	117.1	105.5	122.4	87.8	138.5	141.3	95.2	133.5	100.1	143.3	136.4	135.7	130.3	115.1	122.083333333333	143.3	7.6766495567483	0.511631432082556
249910_at	40	72.3	47.9	59.8	43.7	66.7	64	44.6	80.9	53.5	72.3	37.2	51.2	60.7	70.8	49.9	36.4	74.1	57	80.9	8.4259044847938	0.65800980491915
249911_at	222.6	287.2	303.6	230.5	215.6	253.2	220.9	242.5	222.6	195.9	254.8	175.3	154.1	227.5	230.1	195.9	223.6	179.4	224.183333333333	303.6	0.125570846302256	0.262244864780182
249912_at	35.5	38.6	23.1	32.4	44.5	32.5	34.6	41.3	61.4	45.1	28.7	24.1	13.8	35.1	34.1	37.7	48.7	52	36.8444444444444	61.4	5.4641394819007	0.596049506504729
249913_at	11.8	11.8	9.6	2	6.6	7.4	9.6	1.3	5.6	2.5	6.6	8.8	12.1	25.3	16.8	12.2	8.5	8.8	9.29444444444444	25.3	3.9266086518981	0.35768697354855
249914_at	87.1	99.4	94.6	65.5	92	101.3	90.1	82.8	58	70	78.9	84.3	103.4	74.8	69.8	57.5	115.2	108.9	85.2	115.2	7.67609639481152	0.0216603279938722
249915_at	12.6	12.7	10.9	10.2	17.9	13	12.7	11.3	9.7	12.6	13.2	12.3	23.4	17.4	19	17.3	18.3	18.4	14.6055555555556	23.4	9.4624276390461	0.670469021662168
249916_at	173.6	223.8	228.1	308.9	257.1	227.5	153.8	254.4	331.1	281.7	258.5	239.8	215.6	231.4	268.8	338.8	272.8	262.2	251.55	338.8	11.2221121170716	0.00212590757326066
249917_at	104.3	72.4	63.6	65	113.3	89.6	53.1	85.9	65.6	36.5	41.7	65.5	57.6	62.4	27.9	57.6	58.2	57.2	65.4111111111111	113.3	6.64981326959183e-05	0.415538837022831
249918_at	173.1	234	132.5	318.9	169.9	152	171.1	114	299.9	137.2	241.6	77.9	185.2	251.4	107.1	243.3	92.9	94.8	177.6	318.9	8.9685075646918	0.328843876679134
249919_at	561.7	539.8	861.7	870.3	665.5	723	547	627.7	856.1	895.3	589.6	728.1	611.3	797.2	1143.4	1041.2	659.2	751	748.283333333333	1143.4	12.5303897824443	0.0193770473491673
249920_at	89.3	90.2	69.4	75.3	73.9	64.9	119.5	76.5	100.6	83.9	99.3	103.3	128.9	98.7	64.9	94.6	81	77.2	88.4111111111111	128.9	19.7021764476992	0.266882143809685
249921_at	7.8	10.3	3.9	4.6	11.2	13.8	15.2	12.9	2.4	3.7	2.8	18.5	3.9	3.8	9.2	11.1	10	9.9	8.61111111111111	18.5	0.0651034970562989	0.153396437726287
249922_at	1212.7	1502.5	2021.1	973.2	1201.8	1219.8	719.4	941.6	805.3	1526.9	1273.1	886.6	964.7	1550	1833.5	929.7	1007.3	866.2	1190.85555555556	2021.1	3.345579698548	0.109266564200748
249923_at	577.8	125	113.2	67.7	146.7	268.2	947	180.7	63	104.4	87	328.6	684.4	44.8	62.5	51.2	115.8	235.5	233.527777777778	947	23.9066249149733	0.00262481690674908
249924_at	94.7	58.3	51.4	52.4	65.8	84.4	86.7	68	66.2	68.3	76.3	70.1	70.5	63.5	73.9	68	80.3	95	71.8777777777778	95	1.9822638686327	0.0211165615711974
249925_at	164	110.7	121.1	123.4	148.8	170.7	159.4	111	85.7	91.7	105.3	121.9	181.2	109.9	94.8	113.5	135.4	154	127.916666666667	181.2	13.6876057230219	0.00381902584730961
249926_at	121.7	97.6	88.8	74.5	90.6	110.2	131.9	80.6	95.1	81.7	116.1	100.7	147.8	112.5	95.9	103.2	92	99.5	102.244444444444	147.8	22.3783551704217	0.0101235801391423
249927_at	748.9	920.6	847.3	720.2	698.4	751.2	746.7	808.4	766.5	983.8	976.4	754.9	616.9	764	622.6	577.8	484.1	592.7	743.411111111111	983.8	11.97542707987	0.616460020931805
249928_at	24	27.9	27.3	28.1	34.6	25.5	17.4	18.1	27	22.7	22.8	19.1	21.2	23.9	25.3	21.3	16.1	22.3	23.5888888888889	34.6	8.66315975315119	0.366772017805048
249929_at	423.7	294.3	317.4	329.5	309.1	379.5	501.5	390.9	356.3	364.8	339.1	461.3	491.7	235.1	290.1	316.1	316.2	378.4	360.833333333333	501.5	1.0745672904509	0.0285465081796984
249930_at	201.3	163.7	163.2	142.6	196.6	189.6	191.2	164.2	131.7	148.3	137.5	154	153.9	103.2	110.6	95.4	97.7	115.4	147.783333333333	201.3	6.87777391813871	0.265642571695251
249931_at	44.4	47.2	41.1	46.4	52	46.4	40.2	49	38.4	30.8	51.8	36.8	45.2	37.3	47.6	50	33.2	41.4	43.2888888888889	52	12.4134177281378	0.899675654277148
249932_at	419.1	212.6	73.7	65.3	60.5	182.6	480.9	60.9	64.6	44.7	172.8	136.2	361.2	118.4	35.6	54.2	62.5	113.4	151.066666666667	480.9	23.9303727092694	0.054391789106951
249933_at	49.3	48.3	46.2	46.1	40.6	46.4	54.9	38.9	41.5	45.4	39.1	28.4	39.8	20.4	36.2	51.8	38.8	35.3	41.5222222222222	54.9	6.99892491131999e-05	0.843320768450639
249934_at	1.3	0.7	0.9	0.5	2.7	1.2	0.4	1.2	0.6	0.8	1.4	6.5	11.1	3.7	7.5	16.8	1.4	12.5	3.95555555555556	16.8	19.7468364048355	0.665467744985363
249935_at	4.9	7.2	1.1	2.1	6.7	5.7	8.2	4.9	0.9	0.3	4	4.2	8	8.5	8.4	7.5	9.3	2.3	5.23333333333333	9.3	22.6073024845144	0.453014436303392
249936_at	63.7	61.1	48.3	41.1	50.3	80.6	72.2	74.6	63.1	69.8	67.4	62.9	57.4	51.4	53.7	34.1	63.6	74.5	60.5444444444444	80.6	5.880198078937	0.0733822885737459
249937_at	1.5	1.9	3.3	9.3	1.8	1.8	1.5	1.8	6.8	3.4	0.8	1.8	1.5	2.3	8.4	2.3	16.8	4.2	3.95555555555556	16.8	16.2236897356463	0.429859608268774
249938_at	71	77.5	74.8	78.2	64.5	58.6	61	81.4	78.5	89.9	79.6	74.7	95.4	116.1	142.2	109.2	104.7	80.2	85.4166666666667	142.2	8.5296002020484	0.292536772408193
249939_at	4.5	11.6	13.5	3.7	3.7	9.9	7.7	3.1	1.5	9.1	2.1	9.3	21	21.6	2.4	2.5	9.6	4.1	7.82777777777778	21.6	1.3994910450828	0.298927026818221
249940_at	7.4	1.7	2.1	3.4	9.3	3.9	1.5	5.8	1.3	1.1	0.5	1.2	2.3	2.6	0.6	10.6	8.1	11.3	4.15	11.3	7.96047733934549	0.395553615213997
249941_at	75.1	190.4	163.9	101.4	157.8	96.2	57.4	96.9	106.5	202.5	109.4	98.4	129.9	241.1	220.2	116.1	135.2	136.5	135.272222222222	241.1	6.6169441703719	0.224410651086519
249942_at	39.1	106.4	47	35.3	34.8	33.5	41.4	31.8	39.5	38.8	65	27.2	39.7	84.3	48.3	36.3	43.2	46.1	46.5388888888889	106.4	3.2667889697108	0.83849413782858
249943_at	133.8	133.2	124.8	118	142.7	153.4	128.3	117.8	116.7	134.1	144.8	102.4	125.7	159.7	112.2	109.1	189.7	161.3	133.761111111111	189.7	12.0019127266717	0.115246711705801
249944_at	61.6	78.1	60.1	51.4	44.9	60.5	56.4	41.5	56.9	63	71.2	54.8	41.4	81.2	50.1	43.1	58.2	51.7	57.0055555555556	81.2	19.7467019241625	0.804146662519915
249945_at	456.2	602.1	587.3	566.7	502.4	432.1	526.5	520.6	598.4	686.9	675.7	489.8	589.1	668.5	681.3	604.2	572.3	420.4	565.583333333333	686.9	2.9653886011926	0.0215111477997148
249946_at	24.8	25.2	26.2	26.5	28.7	29.6	34.6	19	32.2	28.2	20.4	26.1	34.9	27.3	33.3	53.2	44	50.8	31.3888888888889	53.2	22.7839508619502	0.627648476915803
249947_at	35.3	31.3	29	29.8	31.4	44	50.9	24.2	17.8	23	23.2	33.8	37.4	16.2	14	33.3	23.3	31.3	29.4	50.9	20.3531837010346	0.0419418244035732
249948_at	49.5	41.4	49.6	37.4	26.2	47.3	59.9	45.8	46.7	59.7	54.5	55.6	62.5	67.8	61.7	49.3	63.8	67.5	52.5666666666667	67.8	21.999945911789	0.662358758509094
249949_at	2.2	3.1	3	4.4	3.6	3.7	9.2	2.8	2.2	2.8	3	5.6	1.5	20.9	15.6	11.2	2.7	4.4	5.66111111111111	20.9	4.4018680565632	0.51539953969481
249950_at	0.9	2.1	0.7	0.6	0.8	2.1	3.6	0.9	0.5	0.9	1.5	0.7	3.1	9.5	17.4	1.6	5.7	2.2	3.04444444444444	17.4	6.1513830769427	0.235741781731444
249951_at	14.3	16.6	13.2	9.6	6.4	10.4	10.2	16	13.1	10.7	12.1	11.8	14.6	24.9	9.7	14.6	2.9	18.3	12.7444444444444	24.9	1.6978675791817	0.0269070319391634
249952_at	13.4	19.4	14	14.6	16.4	21.4	24.7	12.6	12.1	21.1	22.4	16.9	28.4	16.3	27.7	16.1	5.4	18.9	17.8777777777778	28.4	21.5496221733013	0.663402184597917
249953_at	49.9	43.5	41.3	37.2	50.9	48.8	60.5	60.8	45.8	37.7	46.3	56	58.1	57.1	58	49.4	64.4	41.9	50.4222222222222	64.4	24.2431840104971	0.265838709810904
249954_at	17	21.8	26.7	15.6	17	16.8	20.8	15.4	20.7	23.1	24.5	13.9	8.9	22.8	22.3	10	13.6	12.3	17.9555555555556	26.7	8.1897046736506	0.179953851716153
249955_at	14.6	21.9	28.1	19.7	27.8	13.8	14.9	16.6	9.5	12.2	10.2	12.5	15.1	17.5	16.8	15.1	15.2	15.5	16.5	28.1	9.92967822245582	0.314905666153136
249956_at	149.1	121.9	132.8	138.9	154.1	157	152	162.8	137	149.7	140.2	143.5	163.4	171.8	172	149.5	168.9	173.1	152.094444444444	173.1	24.1488331116168	0.582951739880502
249957_at	126.7	123.2	149	156.6	165.3	142.7	102.8	137.1	138.4	116.6	106.8	116	111.8	99.8	96.4	110.3	124.2	90.6	123.016666666667	165.3	14.7600412663867	0.605591073277173
249958_at	63	52.7	53.6	50.5	60.5	81.9	66.7	53.9	46.5	51.6	56	66.9	74.7	70.2	67.3	67.7	97.7	110.6	66.2222222222222	110.6	22.4301452018343	0.0863669291147698
249959_at	407.1	339.9	378	412.2	423.8	422.2	366.9	331.1	336.7	312.9	339.5	359.3	410.5	287.6	421	465.7	409.5	371.3	377.511111111111	465.7	12.2175055461353	0.33593695400305
249960_at	76.2	63.1	58.8	75.7	71.2	77	82.7	92.1	95.9	58.3	67	97	95.4	88.7	86.8	100.6	112.5	110.1	83.8388888888889	112.5	1.5811175313358	0.64859111797554
249961_at	27	38.1	35.7	27.7	39	37.7	32	33.5	29.9	21.9	33.5	33	32.7	45.5	45	39.5	37.4	47	35.3388888888889	47	15.5707651489002	0.923818754767688
249962_at	0.8	1.6	1.5	0.9	0.9	1.4	1	2	1.5	2	1	0.5	2.2	2.4	2.2	3.2	0.9	0.9	1.49444444444444	3.2	7.5366212659987	0.080614302866895
249963_at	87.2	96.2	72.6	79.5	78.4	91.2	87	69.9	76.7	77.8	79.3	73.4	135.3	118.4	94.5	112.4	123.1	138.7	93.9777777777778	138.7	21.9999460159307	0.661128338735798
249964_at	134	142.5	124.7	130.6	140.5	154.3	138.9	182.2	144.3	155	127.9	184.3	115.7	119.8	139.9	104.2	135.3	125.1	138.844444444444	184.3	5.9673961365841	0.872382007774661
249965_at	0.5	3.7	8.7	15.3	9	3.3	7.1	9.4	11.8	9.8	0.6	14.5	8.3	13.9	5.4	10.1	20.3	20.3	9.55555555555556	20.3	17.9999460159307	0.560328226376757
249966_at	87.6	66.9	63.6	82.5	90	84.6	80.1	87.3	82.2	55.5	63.4	80.3	52.9	51.9	45.2	56.8	55.9	57.3	69.1111111111111	90	22.813776366316	0.608001534729288
249967_at	61.8	64.2	58.6	61.8	67.7	64.2	70.2	64.3	55.2	57.8	58.1	55.1	78.5	68.7	52.1	71.3	67.2	51.3	62.6722222222222	78.5	21.1972053165438	0.643647569502307
249968_at	73.8	74.8	70.4	65.1	77.2	74.7	75.9	70.3	62.1	67.8	67.1	75.1	61.4	59	61.1	43	59.2	49.4	65.9666666666667	77.2	9.78184408302699	0.476497548168435
249969_at	25.8	30.3	29	21.6	22.7	23.9	30	52.4	33.4	34	36.3	29.3	39.7	45	19.5	44.4	42.1	39.3	33.2611111111111	52.4	10.1441373469894	0.828163505117498
249970_at	21.9	46.1	32.9	19.3	27.8	22.2	20.4	24.8	20.1	30.2	28.4	23.2	30.7	15.3	32.8	36.5	27.4	42.1	27.8944444444444	46.1	17.999931893836	0.397927203444791
249971_at	35.1	31.9	43.7	24.2	44	25.8	18	27.2	29.5	20.9	27.7	25.4	37.4	30.3	38.2	15.7	36.4	28.6	30	44	9.6924002001643	0.810015497577727
249972_at	1.4	2.1	1.3	1.6	2.1	2	0.7	2	1.3	1.4	1.9	0.4	1.6	3.1	6.1	3.1	1	2.5	1.97777777777778	6.1	10.6217057306231	0.842505780541752
249973_at	68.6	61.8	59.4	53.6	53.3	60.9	64.8	74.6	59.8	73.8	61.3	50.2	34.4	37.2	37.2	25.8	27.6	28.7	51.8333333333333	74.6	6.353045514911	0.7239113554417
249974_at	29.9	39	56	44.8	29.1	48.7	34.2	36.9	32.7	40	23.4	21.6	24.6	54.8	73.4	51.6	54.8	60.6	42.0055555555556	73.4	13.6193619900411	0.283582057110739
249975_s_at	178.2	223.5	247.8	281.2	300.6	229.9	197.8	212	247.3	243.3	237.7	187.4	174.4	199	250.5	216.5	240.5	197.5	225.838888888889	300.6	16.3934758543023	0.00770509645009861
249976_at	2	1	1.5	1.2	0.9	2.5	1.3	1	0.7	0.9	2.4	1.8	1.4	2.1	1.3	2	1.2	1.9	1.50555555555556	2.5	6.9094720122625	0.226622731218529
249977_at	11.5	24.1	17.4	21.4	16.5	5.5	13.1	23.3	36.4	31.4	18.5	21.1	10.9	20.8	38	23.5	22.8	9.1	20.2944444444444	38	2.4955797888058	1.75624840774867e-06
249978_at	116.3	129.5	137.2	141.2	133.4	126.1	99.2	102.9	103.6	94.5	82.4	84.5	98.7	93.8	88.8	95	96.5	92.7	106.461111111111	141.2	9.42562450428274	0.802452945275578
249979_s_at	20.4	19.4	21.5	13.4	18.2	23.8	21.5	25.3	12.3	11	27.4	28.5	15.8	19.2	12.3	11.6	11.4	24.9	18.7722222222222	28.5	19.9227371019349	0.0430767298835731
249980_at	1.1	3.7	6.1	1.7	1.2	2.1	1.3	1.4	1.2	2.2	4.4	1	14.5	8.1	2.7	0.7	3.1	1.7	3.23333333333333	14.5	1.0360058758774	0.709577300754176
249981_at	1.2	1	1	1.5	1.2	1.2	1.1	1.4	1	1.5	0.7	0.8	2	1.3	0.8	0.9	0.7	1.1	1.13333333333333	2	22.2015975275652	0.595563473631788
249982_at	329.4	411.6	402.3	324.7	361.3	347.3	360.3	355.1	347.9	357.8	424	266	156.8	213.5	212.2	183.8	170.8	168.3	299.616666666667	424	5.49973454206191e-05	0.813608351200221
249983_at	16.9	20.9	40.2	48.5	66.5	31.1	7	40.7	34.9	16.6	2.2	10.6	16.8	18.5	21.5	51.4	34.5	36.9	28.65	66.5	16.3008656915586	0.163267424481858
249984_at	121.8	158.5	138.2	119.8	172.1	134.8	138.7	100.9	130.1	119.5	136.1	133.1	128.4	141.3	139.9	121.2	140	123.1	133.194444444444	172.1	1.9220190891723	0.918795328019161
249985_at	177.2	221.4	187.5	177.3	176	198.3	187.8	209.5	160.1	196.3	221	165.2	164	177.4	219	216.3	221.5	180	191.988888888889	221.5	6.5771742114889	0.555727246702878
249986_at	69.1	68.2	67.3	91.7	79.6	63.6	69.6	86.6	86.3	76.8	64	91.1	72.4	92.2	107.4	73.3	94.7	85.5	79.9666666666667	107.4	17.4668791822801	0.614219739930932
249987_at	40.1	19.4	6.3	26.6	41.2	60	26.5	18.7	33.3	20.3	6.3	32.4	28.9	11.9	4.6	10.5	5.7	28	23.3722222222222	60	23.0168055607581	0.105677842584962
249988_at	115.9	110.9	107.5	114.8	136.4	121.6	88.9	134.7	79.7	71.4	82.6	85.2	122.7	118	89.5	119.4	139	148.1	110.35	148.1	13.1180405173156	0.536134785052226
249989_at	36.4	39.7	43.9	43.4	43.5	48.3	33.4	50.8	43.8	57.3	30.9	39.7	31.7	37.4	55.7	48.4	55.9	60.8	44.5	60.8	5.4097582305739	0.2011913849099
249990_at	8	7	34.8	25.3	28.7	20.2	1.1	20	26.8	37.7	5.9	15.8	8.1	1.9	20.9	20.5	20.1	24.2	18.1666666666667	37.7	16.6455543842726	0.0200892854407248
249991_at	47.5	39.4	45.9	58.2	38.2	43.2	39.2	49.9	71.8	41.4	66.3	78.7	58.9	52.4	49.2	39.2	55.9	45.6	51.1611111111111	78.7	15.6577660684181	0.909393032714242
249992_at	13.6	14.4	22.1	15.5	11.4	11.3	8.3	10.6	12.4	11.5	6.8	9.4	18.7	22.1	21.6	24	23.2	19.1	15.3333333333333	24	16.0535980261074	0.403736999333997
249993_at	107.2	126.1	143.5	137.6	140.7	138.3	146.7	146.3	163.4	164.3	163.4	131.4	119.6	120.4	167.8	135.5	128.7	139.1	140	167.8	8.9836979962769	0.102450611895751
249994_at	92.1	111	140.6	116.3	114.8	111.3	88.2	110.2	109.7	149.3	105.6	99.7	123.9	148.1	165.9	136.1	196.5	169.8	127.172222222222	196.5	17.9999460159307	0.347327577339776
249995_at	0.5	0.6	0.8	0.4	0.5	0.5	0.9	0.4	0.4	0.3	0.7	0.3	1.5	1.1	0.9	2.9	0.9	1.1	0.816666666666667	2.9	11.2821683246464	0.383289542742611
249996_at	1067.3	1019.4	990.8	607.5	625.3	1055.8	1324.3	798.8	641.3	1107.8	1008	1045.6	2021.1	1130.4	1225.6	928.2	1283.5	1640.2	1084.49444444444	2021.1	21.9999442001018	0.0804704643510561
249997_at	57.7	80.3	61.6	72.5	43.5	61.7	65.5	87.9	90.3	112.9	116.6	72.3	58.5	90.2	106.4	58	63.7	85.5	76.95	116.6	11.0938614575196	0.414672556711425
249998_at	270.5	255.1	254.9	216.1	266.9	262	289.1	277.7	227.8	242.6	240.9	251	277.6	274	291.7	262.1	284.2	251.3	260.861111111111	291.7	23.7907094798877	0.202906979143457
249999_at	58.4	62.7	77.9	53.6	77.6	93	53.1	71.7	47.6	63.3	40.3	63.5	37.5	37.5	69	35.1	89.1	66.6	60.9722222222222	93	16.3998478495695	0.648757993721083
250000_at	540.4	251.2	219.7	201.9	392.7	483.2	474.6	353.1	197.2	219.6	210.1	321.2	515.9	175.8	165.9	192.6	323.4	361.7	311.122222222222	540.4	23.4165742936957	0.00349451288739847
250001_at	95.5	154.1	222.6	176.9	157.9	134.8	83.1	159.8	166	206.5	114.9	161.7	97.3	129.9	191.1	186.6	154.8	137	151.694444444444	222.6	18.7835502746077	0.00367014912069176
250002_at	30.5	29.8	32.1	22	28.7	26.6	33.7	32.7	26.9	17.2	26.9	30	33.8	35.2	28.9	31	31.6	15.2	28.4888888888889	35.2	5.49973454206191e-05	0.0713441031509665
250003_at	0.7	0.9	2.1	1.2	5.6	2.6	4.1	2.1	0.3	4.4	4.5	6.4	1.7	3.2	5.9	1.7	6.7	6.1	3.34444444444444	6.7	18.7241463780309	0.0767263303279417
250004_at	0.7	22.2	20	22.2	4.1	1.1	1.4	24.5	27.1	45.3	28.7	12.5	2.5	38	34.2	14.8	3	13.6	17.55	45.3	11.0812332207488	0.0416533658031398
250005_at	63.7	134.4	130.6	83.6	83.9	88.8	57.2	70.2	96.6	130.5	131.3	73.1	73.6	170.3	127.3	114	72.9	75.5	98.75	170.3	3.600738209004	0.0810704538017141
250006_at	353.4	486.8	496.4	612.1	511.9	449	509.5	565.4	662.2	650.1	621.2	543.2	373.3	444.8	521.1	576.5	523	451.3	519.511111111111	662.2	8.3458152814509	0.00927038831470003
250007_at	1128.8	58.2	1.9	18.9	58.5	479.4	1099.4	66.6	17.1	9.7	38.1	296.5	912.3	24.6	4.2	7	65.7	242	251.605555555556	1128.8	23.8415012335643	0.0575284912081172
250008_at	179	192.4	100.1	57	95	146	165.3	72.3	37.3	72.7	169.5	105.8	156.5	135.1	101.6	47.5	100.7	148.6	115.688888888889	192.4	21.5783598845144	0.021896193618556
250009_at	34.8	59.5	57.9	50.3	34.2	37.3	35.6	51.2	55.5	65.4	74.3	37.1	34.1	50.6	70.9	45.1	44.7	42.8	48.9611111111111	74.3	8.9541096747922	0.0153665181814868
250010_at	16	22.7	30.2	12.7	23.7	29.1	14.8	21.3	12.6	20.2	19.4	11.7	22.2	36.4	26.1	19.7	33.4	29.9	22.3388888888889	36.4	12.6540446506324	0.912817216199497
250011_at	27.9	30	35.6	28.5	25.4	33.9	21.1	25.3	28.7	41.5	36.6	21.1	28.3	38.3	35.6	22.1	35.7	36.9	30.6944444444444	41.5	19.0493117495106	0.606311715710607
250012_x_at	81.8	59.6	39.4	18.7	16	38.9	76.8	30.2	15.2	28.1	49	26.1	95.2	44.7	44.3	37.5	44	36.7	43.4555555555556	95.2	3.07352740044099	0.0193788378343813
250013_at	56.2	67.2	65.9	52.4	58.1	65.4	54.7	55.5	54.5	53.3	53.2	51.3	51.6	61.8	54.4	48.1	46.9	39.1	54.9777777777778	67.2	4.39593554274508	0.165739014491029
250014_at	384.1	441.8	412.6	563.2	565.8	495.2	383.4	542	635.3	432.6	408.1	531.6	290	338.9	339.4	500	487.5	401.8	452.961111111111	635.3	22.0190918477209	0.233922094860629
250015_at	28.8	39.6	35.8	30.3	27.9	25.8	34.7	30.6	28.3	32.8	26.2	26.6	53.2	60.4	38	43.1	53.4	39.5	36.3888888888889	60.4	13.1815124991363	0.616107053370149
250016_at	230.9	228.6	225.7	201.2	186.1	261	200.5	174.1	190.8	185.5	197	176.4	198.9	131	165.4	158	160.3	146.9	189.905555555556	261	5.49973454206191e-05	0.755994690080233
250017_at	312.4	135.9	111.7	152.6	233.3	292.8	259.6	221.7	123.5	107.3	132.7	286.5	278.6	105.4	102.9	107.7	195.5	248.9	189.388888888889	312.4	23.3029346912135	0.0105855286657831
250018_at	137.3	109.1	101.6	91.2	136.7	137.2	120	107.9	79.6	87.5	88.4	110	145.2	98.5	105.3	127.7	190.9	153.4	118.194444444444	190.9	9.94120910286399	0.041008997508271
250019_at	0.9	1.2	1	0.8	1.1	0.9	1	1.3	0.6	0.9	1.3	0.5	1	1.6	1.8	2.9	1.8	1.3	1.21666666666667	2.9	8.02347073311445	0.84608206247387
250020_at	13.3	15.7	21.2	15.2	20	19.3	8	11.2	9.5	12.7	15.9	6.7	7.9	28	21.6	29.4	23	8.2	15.9333333333333	29.4	9.50560516782063	0.16921619901544
250021_at	128.1	119.4	105.6	136	128.6	129.3	132	158.9	160.1	132.5	137.3	171.1	105	125.9	147	133	143.9	148.8	135.694444444444	171.1	8.894308900687	0.792045195186663
250022_at	42.1	34	29.1	37.1	38.4	40.2	30	31.4	41.8	28.4	20	32.3	18.3	23.2	45.3	30.3	37.8	36.3	33.1111111111111	45.3	22.3571724802154	0.860824639371766
250023_at	0.6	1.4	3.5	0.6	0.7	0.8	0.9	0.8	1.1	0.8	0.8	0.8	1.9	2.7	15.1	2.1	2.6	2.3	2.19444444444444	15.1	9.6490841070508	0.69432836851202
250024_at	7.2	12.8	3.8	6.4	2.7	9.9	6	5.9	1.3	3.2	11.8	5.7	2.7	2.9	4.4	3.3	3.9	1.7	5.31111111111111	12.8	20.2974863148471	0.674875317478454
250025_at	34.4	38.3	31.8	36.8	79.7	43.6	40.4	46.7	33.8	34.7	32.6	43.8	35	25.2	5.1	54.2	67.9	43	40.3888888888889	79.7	18.9076272720497	0.174120254689987
250026_at	10.1	12	10.8	9.4	5.6	14.3	7.7	5.8	4	7.1	10	2	21.4	17	15.4	19	0.9	20.7	10.7333333333333	21.4	8.9536518102619	0.666992352268881
250027_at	96.2	98	96.6	108	139	100.5	91	103.1	92.1	77.3	88.7	71.2	89	91.5	63.5	74.9	91.8	79.8	91.7888888888889	139	15.6593966763243	0.613210649089029
250028_at	36.3	57.5	100.2	67.1	48.6	44.2	31.3	40.3	52.9	61.7	52.1	34.6	53.4	59.2	69.2	56.1	44.1	34.7	52.4166666666667	100.2	4.5040726740415	0.0019595572357584
250029_at	133	58.2	53.4	57.4	81.8	104.5	146.8	94.3	60.5	53.3	56.8	81.7	120.7	63.9	61.2	65.2	94.7	132.5	84.4388888888889	146.8	0.0482729458720996	0.00956148235976881
250030_at	94	83.9	85.5	66.6	94.1	107.8	97.3	74.7	70.3	59.8	70.3	72	110	91.5	96.1	73.7	85.8	88.4	84.5444444444444	110	14.1817730168565	0.0510519401749057
250031_at	53.9	78.1	45.8	43.7	49.1	72.5	49.9	86.5	45.8	71.8	48.5	76.5	45.9	89	46	31.1	42	70.5	58.1444444444444	89	20.1691137805714	0.195308617877974
250032_at	189.8	106.6	124.4	78.5	132.7	173.5	187.5	152.8	80.6	122.6	124.2	162.1	286.2	121.3	142.5	95.4	165	205.7	147.3	286.2	19.5429848588894	0.000633915952950411
250033_at	197.4	126.2	131.1	99	109.7	173.6	179.1	159.8	99.7	89.6	88.4	184.8	311.7	158.1	159.1	143.3	251.3	231.8	160.761111111111	311.7	21.9999460159307	0.046678288799719
