ID	LD00	LD04	LD08	LD12	LD16	LD20	LD24	LD28	LD32	LD36	LD40	LD44
AT3G59060	600.55	665.19	458.95	119	22.52	93.27	497.58	855.48	500.96	155.4	80.05	84.2
AT3G59060	600.55	665.19	458.95	119	22.52	93.27	497.58	855.48	500.96	155.4	80.05	84.2
AT3G59060	600.55	665.19	458.95	119	22.52	93.27	497.58	855.48	500.96	155.4	80.05	84.2
AT3G59070	5.54	4.72	4.41	4.42	4.62	5.92	5.24	4.02	4.49	4.34	4.78	4.52
AT3G59100	6.68	8.43	9.2	8.01	8.64	8.37	7.66	4.9	7.25	8.13	6.21	9.9
AT3G59100	6.68	8.43	9.2	8.01	8.64	8.37	7.66	4.9	7.25	8.13	6.21	9.9
AT3G59110	53.46	112.35	119.74	86.7	66.49	36.85	49.81	103.57	131.35	118.05	112.04	44.51
AT3G59120	5.21	4.58	5.55	5.42	4.96	5.33	4.62	4.83	4.68	4.71	4.76	4.7
AT3G59120	5.21	4.58	5.55	5.42	4.96	5.33	4.62	4.83	4.68	4.71	4.76	4.7
AT3G59130	3.59	3.76	3.42	3.76	3.81	3.71	3.72	3.84	3.57	3.05	3.85	3.08
AT3G59140	23.03	19.91	12.69	15.06	21.74	20.83	23.49	18.38	14.23	13.61	11.77	18.1
AT3G59030	3.12	3.47	4.29	4.4	3.59	3.72	3.4	4.25	3.77	3.55	4.59	3.77
AT3G59030	3.12	3.47	4.29	4.4	3.59	3.72	3.4	4.25	3.77	3.55	4.59	3.77
AT3G59050	108.51	64.24	62.9	104.99	129.41	144.56	131.95	69.76	73.64	103.92	150.84	154.83
AT3G59090	119.98	119.86	140.53	82.08	112.16	74.26	69.25	97.76	80.97	82.27	109.63	70.85
AT3G59090	119.98	119.86	140.53	82.08	112.16	74.26	69.25	97.76	80.97	82.27	109.63	70.85
AT3G59090	119.98	119.86	140.53	82.08	112.16	74.26	69.25	97.76	80.97	82.27	109.63	70.85
AT3G59090	119.98	119.86	140.53	82.08	112.16	74.26	69.25	97.76	80.97	82.27	109.63	70.85
AT3G59080	97.51	13.44	31	14.79	50.15	55.52	41.4	22.54	16.93	24.41	77.87	58.7
AT3G59080	97.51	13.44	31	14.79	50.15	55.52	41.4	22.54	16.93	24.41	77.87	58.7
AT3G58970	101.74	111.96	128.49	116.95	109.08	111.41	123.81	134.09	122.2	113.72	97.47	115.22
AT3G59010	6.77	5.64	6.26	11.7	5.68	6.77	4.09	9.15	5.73	11.08	7.92	10.11
AT3G59170	3.98	3.82	3.63	4.34	4.82	3.58	3.63	3.59	4.26	3.35	4.96	3.91
AT3G59180	4.87	5.77	3.99	5.17	6.47	5.41	4.49	4.48	4.23	3.44	3.56	3.44
AT3G59190	4.35	4.9	5.61	6.05	4.58	4.52	4.93	5.19	5.5	5.11	5.13	4.53
AT3G59190	4.35	4.9	5.61	6.05	4.58	4.52	4.93	5.19	5.5	5.11	5.13	4.53
AT3G59220	11.62	11.51	17.19	12.26	12.88	14.17	11.69	13.66	12.21	9.53	22.6	12.51
AT3G59260	4.06	3.63	3.07	3.03	4.32	3.69	3.5	3.69	3.69	3.61	3.31	3.2
AT3G59270	4.06	4.12	4.37	3.42	4.17	3.75	3.73	4.09	4.43	3.96	4.99	4.36
AT3G59370	5.99	8.14	10.76	8.8	11.94	7.64	6.04	7.12	10.99	5.98	7.01	7.51
AT3G59390	9.63	9.15	11.06	9.69	10.77	9.02	9.15	11.79	7.59	10.05	10.85	9.16
AT3G59390	9.63	9.15	11.06	9.69	10.77	9.02	9.15	11.79	7.59	10.05	10.85	9.16
AT3G59400	2573.36	2994.42	1301.87	553.91	385.3	2225.93	2750.23	2583.82	1309.53	659.82	423.39	1828.59
AT3G59410	44.55	44.19	43.25	44.31	41.69	54.39	54.17	29.99	40.51	37.65	40.96	49.69
AT3G59410	44.55	44.19	43.25	44.31	41.69	54.39	54.17	29.99	40.51	37.65	40.96	49.69
AT3G59410	44.55	44.19	43.25	44.31	41.69	54.39	54.17	29.99	40.51	37.65	40.96	49.69
AT3G59410	44.55	44.19	43.25	44.31	41.69	54.39	54.17	29.99	40.51	37.65	40.96	49.69
AT3G59410	44.55	44.19	43.25	44.31	41.69	54.39	54.17	29.99	40.51	37.65	40.96	49.69
AT3G59420	59.18	43.59	34.6	36.68	30.32	35.09	37.33	52.28	40.29	46.6	43.85	30.63
AT3G59430	8.38	7.04	7.58	8.83	9.48	7.89	9.34	9.27	9.72	10.63	10.39	9.52
AT3G59430	8.38	7.04	7.58	8.83	9.48	7.89	9.34	9.27	9.72	10.63	10.39	9.52
AT3G59430	8.38	7.04	7.58	8.83	9.48	7.89	9.34	9.27	9.72	10.63	10.39	9.52
AT3G59430	8.38	7.04	7.58	8.83	9.48	7.89	9.34	9.27	9.72	10.63	10.39	9.52
AT3G59430	8.38	7.04	7.58	8.83	9.48	7.89	9.34	9.27	9.72	10.63	10.39	9.52
AT3G59430	8.38	7.04	7.58	8.83	9.48	7.89	9.34	9.27	9.72	10.63	10.39	9.52
AT3G59430	8.38	7.04	7.58	8.83	9.48	7.89	9.34	9.27	9.72	10.63	10.39	9.52
AT3G59430	8.38	7.04	7.58	8.83	9.48	7.89	9.34	9.27	9.72	10.63	10.39	9.52
AT3G58990	73.08	438.15	65.68	228.05	31.3	68.94	95	135.78	146.08	261.49	28.51	89.13
AT3G59000	19.11	18.86	15.95	15.99	12.45	13.35	17.91	14.46	16.76	14.86	14.99	13.89
AT3G59000	19.11	18.86	15.95	15.99	12.45	13.35	17.91	14.46	16.76	14.86	14.99	13.89
AT3G58640	166.89	197.04	159.75	106.38	230	143.21	157.5	133.38	104.89	129.57	204.17	149.04
AT3G58640	166.89	197.04	159.75	106.38	230	143.21	157.5	133.38	104.89	129.57	204.17	149.04
AT3G58650	8.39	14.83	9.24	12.3	17.49	8.79	9.64	11.22	18.1	10.76	7.75	12.06
AT3G58600	47.5	77.01	69.39	37.53	77.35	64	51.14	57.36	59.89	57.26	113.52	66.46
AT3G58570	17.11	15.04	89.43	84.74	62.41	37.82	21.62	12.59	87.88	91.34	71.27	45.17
AT3G58520	5.74	5.59	5.98	11.47	9.02	6.7	7.02	4.82	4.99	10.28	6.03	7.6
AT3G58520	5.74	5.59	5.98	11.47	9.02	6.7	7.02	4.82	4.99	10.28	6.03	7.6
AT3G58550	379.19	267.42	376.03	449.99	227.5	342.28	342.57	315.03	320.5	187.25	78.25	154.46
AT3G58530	57.7	36.46	50.29	39.29	56.95	33.12	48.78	31.08	34.22	39.7	58.63	52.65
AT3G58460	70.52	80.05	94.51	95.91	115.58	100.1	86.51	102.18	88.11	103.79	102.42	73.98
AT3G58460	70.52	80.05	94.51	95.91	115.58	100.1	86.51	102.18	88.11	103.79	102.42	73.98
AT3G58510	443.53	339.06	240.99	342.24	384.72	491.38	520.52	278.35	378.95	332.27	290.06	490.15
AT3G58510	443.53	339.06	240.99	342.24	384.72	491.38	520.52	278.35	378.95	332.27	290.06	490.15
AT3G58510	443.53	339.06	240.99	342.24	384.72	491.38	520.52	278.35	378.95	332.27	290.06	490.15
AT3G58540	4.74	6.4	6.47	6.3	4.56	5.53	4.72	7.1	7.6	5.14	5.96	5.68
AT3G58610	3791.76	3125.06	2333.15	3118.62	3963.96	4122.32	3839.32	2868.97	2856.81	2776.13	3186.43	3995.57
AT3G58610	3791.76	3125.06	2333.15	3118.62	3963.96	4122.32	3839.32	2868.97	2856.81	2776.13	3186.43	3995.57
AT3G58610	3791.76	3125.06	2333.15	3118.62	3963.96	4122.32	3839.32	2868.97	2856.81	2776.13	3186.43	3995.57
AT3G58470	139.28	83.82	95.61	118.13	83.18	165.15	157.36	117.23	146.73	131.33	194.26	150
AT3G58660	177.01	123.12	146.57	180.01	270.86	383.22	273.74	87.63	154.99	206.29	164.98	331.79
AT3G58690	71.64	56.09	59.69	54.08	61.45	51.25	63.82	61.57	51.72	54.76	71.17	67.55
AT3G58740	5.94	5.78	6.86	5.91	6.05	6.11	5.95	7.06	8.18	6.37	7	5.68
AT3G58750	86.16	141.41	279.93	161.72	228.5	173.67	105.99	115.42	262.65	149.45	175.73	174.96
AT3G58760	40.18	28.57	41.58	36.46	55.43	46.98	33.86	39.46	41.46	44.69	46.69	53.16
AT3G58760	40.18	28.57	41.58	36.46	55.43	46.98	33.86	39.46	41.46	44.69	46.69	53.16
AT3G58760	40.18	28.57	41.58	36.46	55.43	46.98	33.86	39.46	41.46	44.69	46.69	53.16
AT3G58760	40.18	28.57	41.58	36.46	55.43	46.98	33.86	39.46	41.46	44.69	46.69	53.16
AT3G58760	40.18	28.57	41.58	36.46	55.43	46.98	33.86	39.46	41.46	44.69	46.69	53.16
AT3G58760	40.18	28.57	41.58	36.46	55.43	46.98	33.86	39.46	41.46	44.69	46.69	53.16
AT3G58770	4.06	3.29	3.77	3.84	3.8	3.24	3.69	3.4	4.23	4.13	3.52	4.1
AT3G58790	24.49	17.48	21.33	11.7	21.62	17.93	19.99	21.01	19.93	24.77	24.93	22.25
AT3G58790	24.49	17.48	21.33	11.7	21.62	17.93	19.99	21.01	19.93	24.77	24.93	22.25
AT3G58810	95.22	62.03	75.88	61.81	61.93	58.89	94.08	53.13	83.08	28.07	26.44	58.36
AT3G58810	95.22	62.03	75.88	61.81	61.93	58.89	94.08	53.13	83.08	28.07	26.44	58.36
AT3G58830	206.34	181.86	122.8	224.23	182.86	156.52	248.25	176.89	159.96	306.38	237.07	167.67
AT3G58830	206.34	181.86	122.8	224.23	182.86	156.52	248.25	176.89	159.96	306.38	237.07	167.67
AT3G58830	206.34	181.86	122.8	224.23	182.86	156.52	248.25	176.89	159.96	306.38	237.07	167.67
AT3G58860	3.71	3.78	3.49	4.14	3.96	3.79	3.44	3.5	4.18	3.46	4.15	3.61
AT3G58875	4.32	5.09	4.85	4.72	4.76	4.75	4.59	5.59	4.32	4.18	4.44	3.96
AT3G58890	5.48	4.31	4.58	4.81	5.18	4.99	4.7	4.58	4.76	4.18	6.31	4.12
AT3G58800	10.18	10.6	8.98	7.08	7.88	10.38	7.86	8.34	7.98	11.31	6.9	7.94
AT3G58680	1081.05	850.23	1874.88	1985.26	1798.16	1702.27	1106	916.95	1758.74	2204.18	2129.33	1590.38
AT3G58700	711.7	606.27	526.04	813.95	954.2	919.87	846.39	440.32	586.54	778.12	793.25	956.69
AT3G58710	13.85	15.32	19.37	14.16	16.75	12.16	14.66	15.36	14.61	14.6	18.13	13.74
AT3G58710	13.85	15.32	19.37	14.16	16.75	12.16	14.66	15.36	14.61	14.6	18.13	13.74
AT3G58670	74.91	21.41	50.35	33.54	56.01	47.33	77.97	33.52	46.64	57.97	75.17	59.65
AT3G58670	74.91	21.41	50.35	33.54	56.01	47.33	77.97	33.52	46.64	57.97	75.17	59.65
AT3G58670	74.91	21.41	50.35	33.54	56.01	47.33	77.97	33.52	46.64	57.97	75.17	59.65
AT3G58670	74.91	21.41	50.35	33.54	56.01	47.33	77.97	33.52	46.64	57.97	75.17	59.65
AT3G58780	4.06	3.77	4.16	4.66	4.59	4.22	3.72	4.67	5.04	4.79	4.67	4.36
AT3G58780	4.06	3.77	4.16	4.66	4.59	4.22	3.72	4.67	5.04	4.79	4.67	4.36
AT3G58780	4.06	3.77	4.16	4.66	4.59	4.22	3.72	4.67	5.04	4.79	4.67	4.36
AT3G58780	4.06	3.77	4.16	4.66	4.59	4.22	3.72	4.67	5.04	4.79	4.67	4.36
AT3G58780	4.06	3.77	4.16	4.66	4.59	4.22	3.72	4.67	5.04	4.79	4.67	4.36
AT3G58840	28.28	26.84	23.44	23.69	25.82	26.83	19.56	23.62	21.77	25.76	24.8	28.78
AT3G58840	28.28	26.84	23.44	23.69	25.82	26.83	19.56	23.62	21.77	25.76	24.8	28.78
AT3G58730	1457.11	1686.6	2076.97	1364.78	1938.7	1727.74	1417.32	1441.44	1492.95	1856.87	1774.01	1639.29
AT3G57810	20.68	62.41	26.61	39.42	13.51	20.52	26.93	64.66	34.2	39.01	16.63	30.66
AT3G57810	20.68	62.41	26.61	39.42	13.51	20.52	26.93	64.66	34.2	39.01	16.63	30.66
AT3G57810	20.68	62.41	26.61	39.42	13.51	20.52	26.93	64.66	34.2	39.01	16.63	30.66
AT3G57810	20.68	62.41	26.61	39.42	13.51	20.52	26.93	64.66	34.2	39.01	16.63	30.66
AT3G58010	141.03	102.5	173.84	155.96	93.46	153.81	89.26	99.75	139.64	140.27	172.4	178.44
AT3G58010	141.03	102.5	173.84	155.96	93.46	153.81	89.26	99.75	139.64	140.27	172.4	178.44
AT3G57920	3.61	3.99	3.87	3.87	4.65	3.85	3.71	4.37	4.47	4.3	3.65	4.15
AT3G57870	865.41	1457.13	1249.06	1150.2	1278.63	1125.11	1038.65	1228.04	1426.91	1094.49	1238.83	1187.86
AT3G57890	54.92	167.95	66.55	62.64	49.05	35.37	66.34	95.56	170.13	146.93	102.93	53
AT3G57890	54.92	167.95	66.55	62.64	49.05	35.37	66.34	95.56	170.13	146.93	102.93	53
AT3G57880	101.6	95.84	30.43	32.72	50.3	61.6	149.02	52.43	28.86	48.35	74.33	81.51
AT3G57880	101.6	95.84	30.43	32.72	50.3	61.6	149.02	52.43	28.86	48.35	74.33	81.51
AT3G57880	101.6	95.84	30.43	32.72	50.3	61.6	149.02	52.43	28.86	48.35	74.33	81.51
AT3G57880	101.6	95.84	30.43	32.72	50.3	61.6	149.02	52.43	28.86	48.35	74.33	81.51
AT3G58160	5.28	4.79	4.23	4.24	3.22	5.28	5.3	3.8	3.86	5.27	3.51	5.83
AT3G58160	5.28	4.79	4.23	4.24	3.22	5.28	5.3	3.8	3.86	5.27	3.51	5.83
AT3G58160	5.28	4.79	4.23	4.24	3.22	5.28	5.3	3.8	3.86	5.27	3.51	5.83
AT3G58160	5.28	4.79	4.23	4.24	3.22	5.28	5.3	3.8	3.86	5.27	3.51	5.83
AT3G58160	5.28	4.79	4.23	4.24	3.22	5.28	5.3	3.8	3.86	5.27	3.51	5.83
AT3G58190	4.45	4.75	4.87	4.88	4.96	4.39	3.95	4.49	4.87	4.17	4.75	4.47
AT3G58210	4.44	4.71	6.05	5.34	5.19	4.5	3.94	5.05	4.25	5.11	5.78	3.94
AT3G58230	5.67	4.93	5.08	5.08	5.76	5.2	5.03	5.6	5.39	4.49	4.35	4.48
AT3G58280	3.99	4.05	3.89	3.9	4.76	4.14	3.9	3.45	3.37	4.03	4.7	3.47
AT3G58290	3.53	3.33	3.6	3.61	3.6	4.09	3.18	3.77	3.13	3.12	3.64	2.85
AT3G58290	3.53	3.33	3.6	3.61	3.6	4.09	3.18	3.77	3.13	3.12	3.64	2.85
AT3G58290	3.53	3.33	3.6	3.61	3.6	4.09	3.18	3.77	3.13	3.12	3.64	2.85
AT3G58300	5.46	5.59	4.69	6.83	6.55	5.25	4.81	5.31	5.49	4.83	4.93	4.27
AT3G58330	3.76	3.61	3.45	3.85	4.22	3.9	3.05	3.6	3.33	3.46	3.88	2.71
AT3G58390	2.99	3.6	3.13	3.4	2.96	3.8	3.38	3.52	3.46	3.48	4.07	3.15
AT3G58140	269.07	446.66	460.21	399.42	269.12	294.22	301.67	569.95	508.98	374.12	295.91	367.51
AT3G58100	25.49	28.5	25.55	37	37.31	29.62	26.43	30.65	26.33	38.54	28.52	30.96
AT3G58100	25.49	28.5	25.55	37	37.31	29.62	26.43	30.65	26.33	38.54	28.52	30.96
AT3G58120	311.13	401.73	417.05	214.57	181.64	169.02	325.77	441.66	404.54	335.51	260.81	274.17
AT3G58120	311.13	401.73	417.05	214.57	181.64	169.02	325.77	441.66	404.54	335.51	260.81	274.17
AT3G58200	7.13	5.97	7.1	6.82	7.58	6.54	6.1	5.42	6.06	6.86	6.82	7.31
AT3G58350	6.16	5.48	6.26	5.11	6.84	5.77	5.03	5.38	5.24	5.67	6.05	4.84
AT3G58350	6.16	5.48	6.26	5.11	6.84	5.77	5.03	5.38	5.24	5.67	6.05	4.84
AT3G58180	185.82	116.17	140.7	146.05	220.48	237.24	178.3	152.27	112.32	168.91	181.57	225.57
AT3G58170	257.32	415.73	342.17	296.87	301.8	232.96	238.65	462.64	273.21	308.52	395.37	308.41
AT3G58450	4.14	4.45	4.27	5.1	4.28	4.29	4.12	4.47	4.87	5.21	3.8	4.2
AT3G58450	4.14	4.45	4.27	5.1	4.28	4.29	4.12	4.47	4.87	5.21	3.8	4.2
AT3G58560	380.83	324.38	276.39	349.39	259.34	353.67	486.67	382.19	393.86	346.78	361.98	459.92
AT3G58580	108.47	130.49	103.62	153.99	155.82	106.47	137.83	136.72	180.77	128.89	147.43	101.03
AT3G58590	5.77	4.62	5.3	7.41	5.14	6.29	6.58	4.41	5.14	9.57	6.07	7.6
AT3G58620	96.88	150.78	238.18	102.81	121.97	52.29	76.46	175.72	162.66	111.2	102.37	60.8
AT3G58620	96.88	150.78	238.18	102.81	121.97	52.29	76.46	175.72	162.66	111.2	102.37	60.8
AT3G58630	9.83	10.02	12.95	10.42	16.84	13.32	11.28	11.82	11.94	11.51	14.77	17.64
AT3G58630	9.83	10.02	12.95	10.42	16.84	13.32	11.28	11.82	11.94	11.51	14.77	17.64
AT3G58070	3.39	3.81	3.15	3.75	6.23	4.14	4.26	3.37	3.9	3.94	3.58	4.18
AT3G58090	5.17	6.45	6.47	6.03	5.94	6.46	6.07	7.34	7.53	6.33	5.36	6.39
AT3G58040	72.21	97.55	69.01	59.04	66.86	67.28	99.47	83.99	65.19	93.5	136.49	80
AT3G58040	72.21	97.55	69.01	59.04	66.86	67.28	99.47	83.99	65.19	93.5	136.49	80
AT3G58040	72.21	97.55	69.01	59.04	66.86	67.28	99.47	83.99	65.19	93.5	136.49	80
AT3G57690	6.18	6.25	6.24	6.23	7.94	7.63	6.65	5.47	5.61	5.69	6.45	6.22
AT3G57680	8.87	13.16	16	9.65	9.52	8.02	8.95	15.83	17	12.83	9.39	9.61
AT3G57680	8.87	13.16	16	9.65	9.52	8.02	8.95	15.83	17	12.83	9.39	9.61
AT3G57680	8.87	13.16	16	9.65	9.52	8.02	8.95	15.83	17	12.83	9.39	9.61
AT3G57670	6.77	8.58	6.62	7.08	9.03	7.42	6.47	8.23	7	7.09	8.64	6.27
AT3G57660	34.05	13.34	12.76	26.89	16.65	43.92	41.29	7.51	12.26	26.34	14.71	68.23
AT3G57660	34.05	13.34	12.76	26.89	16.65	43.92	41.29	7.51	12.26	26.34	14.71	68.23
AT3G57630	24.15	14.72	21.73	55.05	29.29	33.68	22.66	21.33	19.77	49.76	59.04	23.93
AT3G57630	24.15	14.72	21.73	55.05	29.29	33.68	22.66	21.33	19.77	49.76	59.04	23.93
AT3G57630	24.15	14.72	21.73	55.05	29.29	33.68	22.66	21.33	19.77	49.76	59.04	23.93
AT3G57620	2.61	3.04	2.91	2.66	2.99	2.92	2.6	2.46	3.17	2.67	2.95	2.83
AT3G57650	294.24	320.56	174.9	256.16	347.52	264.51	311.1	250.69	295.6	168.1	346.4	277.43
AT3G57750	37.16	43.98	68.38	25.88	31.52	38.78	42.17	73.82	62.36	47.1	81.07	74.55
AT3G57750	37.16	43.98	68.38	25.88	31.52	38.78	42.17	73.82	62.36	47.1	81.07	74.55
AT3G57600	5.37	5.75	6.06	5.97	7.15	5.66	5.66	5.26	5.98	6.55	6.25	7.06
AT3G57610	1241.22	1244.14	876.66	1036.15	1288.98	1212.28	1247.28	1332.64	1047	1007.94	1195.27	1275.7
AT3G57710	24.93	38.07	17.61	16.45	41.77	28.86	30.99	17.68	16.38	21.36	45.11	50.61
AT3G57785	220.16	162.25	186.43	299.23	207.74	247.83	209.68	142.67	232.42	275.04	228.67	208.3
AT3G57760	6.27	5.29	5.38	5.39	6.32	7.92	7.16	6.76	5.26	6.37	9.78	7.76
AT3G57760	6.27	5.29	5.38	5.39	6.32	7.92	7.16	6.76	5.26	6.37	9.78	7.76
AT3G57760	6.27	5.29	5.38	5.39	6.32	7.92	7.16	6.76	5.26	6.37	9.78	7.76
AT3G57760	6.27	5.29	5.38	5.39	6.32	7.92	7.16	6.76	5.26	6.37	9.78	7.76
AT3G57830	19.67	29.3	14.63	18.49	20.9	23.75	19.76	20.61	20.62	31.54	13.49	15.72
AT3G57830	19.67	29.3	14.63	18.49	20.9	23.75	19.76	20.61	20.62	31.54	13.49	15.72
AT3G57830	19.67	29.3	14.63	18.49	20.9	23.75	19.76	20.61	20.62	31.54	13.49	15.72
AT3G57840	6	5.68	6.48	5.15	6.37	6.3	5.96	5.65	5.03	5.38	6.65	5.33
AT3G57850	7.37	6.83	6.36	7.09	8.34	6.6	5.13	6.72	6.18	7.16	7.6	4.47
AT3G57860	6.32	7.16	5.49	6.72	9.24	5.9	5.31	5.58	7.21	8.26	7.15	6.08
AT3G57900	7.3	8.05	9.16	10.43	6.77	8.81	7.56	6.66	7.12	6.52	8.75	6.89
AT3G57930	65.17	46.02	66.16	54.34	178.16	92.65	71.47	56.78	51.54	69.54	120.42	113.69
AT3G57930	65.17	46.02	66.16	54.34	178.16	92.65	71.47	56.78	51.54	69.54	120.42	113.69
AT3G57940	22.33	12.26	11.87	16.44	17.09	28.73	29.44	13.41	13.78	17.3	22.62	68.22
AT3G57940	22.33	12.26	11.87	16.44	17.09	28.73	29.44	13.41	13.78	17.3	22.62	68.22
AT3G57950	4.24	3.87	4.48	4.19	4.85	4.46	3.85	4.03	4.81	4.38	4.8	3.62
AT3G57960	4.94	6.23	6.02	6.3	7.42	5.57	5.02	5.59	5.62	4.5	6.92	4.55
AT3G57970	4.41	4.31	3.76	4.79	4.15	4.66	3.82	4.11	4.37	4.02	4.28	4.17
AT3G57980	7.49	7.77	6.94	6.75	9.49	5.76	6.02	7.48	6.01	5.69	5.98	5.55
AT3G57980	7.49	7.77	6.94	6.75	9.49	5.76	6.02	7.48	6.01	5.69	5.98	5.55
AT3G57990	191.59	225.57	168.96	244.96	208.53	232.07	164.88	251.87	180.57	293.04	278.53	233.8
AT3G58000	5.18	4.72	4.61	4.41	4.99	4.28	5.12	4.9	4.99	5.37	4.41	5.13
AT3G58050	51.61	35.74	61	48.2	45.39	56.43	61.61	60.05	39.49	41.3	59.9	80.13
AT3G58050	51.61	35.74	61	48.2	45.39	56.43	61.61	60.05	39.49	41.3	59.9	80.13
AT3G58060	8.63	8.37	8.16	9.63	8.44	8.08	6.88	8.12	9.8	8.39	6.27	5.22
AT3G58060	8.63	8.37	8.16	9.63	8.44	8.08	6.88	8.12	9.8	8.39	6.27	5.22
AT3G57700	4.89	4.46	4.45	4.68	5.72	5.37	4.69	4.13	4.34	3.92	12.96	5.16
AT3G57340	349.51	195.19	258.51	205.19	395.37	246.18	347.49	238.87	249.21	227.93	639.57	303.69
AT3G57340	349.51	195.19	258.51	205.19	395.37	246.18	347.49	238.87	249.21	227.93	639.57	303.69
AT3G57390	15.38	11.07	10.71	8.72	12.91	14.82	20.08	12.27	9.16	11.92	16.11	15.93
AT3G57390	15.38	11.07	10.71	8.72	12.91	14.82	20.08	12.27	9.16	11.92	16.11	15.93
AT3G57390	15.38	11.07	10.71	8.72	12.91	14.82	20.08	12.27	9.16	11.92	16.11	15.93
AT3G57280	388.11	531.46	665.49	597.57	685.99	618.22	436.46	457.81	492.43	676.89	644.76	661.52
AT3G57260	5.55	4.66	5.22	5.3	5.97	5.15	5.54	6.13	6.47	6.06	6.41	5.78
AT3G57260	5.55	4.66	5.22	5.3	5.97	5.15	5.54	6.13	6.47	6.06	6.41	5.78
AT3G57220	75.17	58.95	50.8	73.45	58.79	75.81	86.68	59.51	59.57	74.88	43.11	88.27
AT3G57270	4.46	4.63	4.42	4.8	4.36	4.76	4.13	4.56	3.8	4.1	4.2	3.57
AT3G57290	1394.28	884.68	641.32	929.1	1125.95	1417.45	1471.92	846.24	926.86	907.76	982.64	1589.19
AT3G57410	342.4	479.15	568.74	312.38	506.22	469.87	404.91	465.16	554.98	500.23	590.45	502.56
AT3G57410	342.4	479.15	568.74	312.38	506.22	469.87	404.91	465.16	554.98	500.23	590.45	502.56
AT3G57410	342.4	479.15	568.74	312.38	506.22	469.87	404.91	465.16	554.98	500.23	590.45	502.56
AT3G57410	342.4	479.15	568.74	312.38	506.22	469.87	404.91	465.16	554.98	500.23	590.45	502.56
AT3G57410	342.4	479.15	568.74	312.38	506.22	469.87	404.91	465.16	554.98	500.23	590.45	502.56
AT3G57410	342.4	479.15	568.74	312.38	506.22	469.87	404.91	465.16	554.98	500.23	590.45	502.56
AT3G57410	342.4	479.15	568.74	312.38	506.22	469.87	404.91	465.16	554.98	500.23	590.45	502.56
AT3G57410	342.4	479.15	568.74	312.38	506.22	469.87	404.91	465.16	554.98	500.23	590.45	502.56
AT3G57410	342.4	479.15	568.74	312.38	506.22	469.87	404.91	465.16	554.98	500.23	590.45	502.56
AT3G57420	58.09	42.96	45.77	67.07	73.15	79.41	65.48	54.24	41.21	66.16	118.45	91.32
AT3G57430	9.38	12.27	22.69	15.36	13.91	11.86	11.51	11.69	21.65	33.62	12.75	13.66
AT3G57440	4.33	3.84	4.58	4.53	4.53	4.05	3.51	4.35	4.71	3.69	4.16	2.97
AT3G57440	4.33	3.84	4.58	4.53	4.53	4.05	3.51	4.35	4.71	3.69	4.16	2.97
AT3G57460	4.48	4.34	4.22	4.94	5.02	4.83	3.9	3.25	4.07	4.03	4.35	4.01
AT3G57480	57.8	48.48	54.28	40.05	58.75	43.51	47.09	38.89	37.94	45.47	46.65	47.69
AT3G57480	57.8	48.48	54.28	40.05	58.75	43.51	47.09	38.89	37.94	45.47	46.65	47.69
AT3G57510	5.63	5.77	5.98	5.74	5.41	6.73	5.43	5.51	6.64	5.4	6.13	5.39
AT3G57530	228.3	159.23	183.92	150.22	196.52	203.65	198.65	136.22	96.53	188.26	275.29	172.6
AT3G57530	228.3	159.23	183.92	150.22	196.52	203.65	198.65	136.22	96.53	188.26	275.29	172.6
AT3G57570	35.77	36.42	28.08	29.89	26.45	19.1	37.56	41.79	35.48	38.93	25.96	36.81
AT3G57570	35.77	36.42	28.08	29.89	26.45	19.1	37.56	41.79	35.48	38.93	25.96	36.81
AT3G57490	173.71	85.31	86.48	198.8	225.7	335.22	187.28	54.6	86.68	265.28	176.91	240.12
AT3G57560	642.75	433.84	527.77	578.29	650.03	747.85	568.16	466.79	576.8	622.18	740.43	719.65
AT3G57450	601.88	210.81	351.56	309.45	582.82	531.3	450.51	337.77	238.44	385.04	712.72	540.53
AT3G57470	45.24	42.72	69.06	41.39	55.08	49.36	52.61	40.51	42.96	47.27	68.35	89.63
AT3G57470	45.24	42.72	69.06	41.39	55.08	49.36	52.61	40.51	42.96	47.27	68.35	89.63
AT3G57470	45.24	42.72	69.06	41.39	55.08	49.36	52.61	40.51	42.96	47.27	68.35	89.63
AT3G57470	45.24	42.72	69.06	41.39	55.08	49.36	52.61	40.51	42.96	47.27	68.35	89.63
AT3G57470	45.24	42.72	69.06	41.39	55.08	49.36	52.61	40.51	42.96	47.27	68.35	89.63
AT3G57470	45.24	42.72	69.06	41.39	55.08	49.36	52.61	40.51	42.96	47.27	68.35	89.63
AT3G57520	1552.28	501.61	1005.1	1040.19	3067.08	855.1	1055.42	651.88	383.47	1327.5	3562.28	809.72
AT3G57520	1552.28	501.61	1005.1	1040.19	3067.08	855.1	1055.42	651.88	383.47	1327.5	3562.28	809.72
AT3G57520	1552.28	501.61	1005.1	1040.19	3067.08	855.1	1055.42	651.88	383.47	1327.5	3562.28	809.72
AT3G57550	412.73	294.66	217.43	159.19	489.26	419.06	467.26	241.23	243.48	214.11	478.28	435.32
AT3G57550	412.73	294.66	217.43	159.19	489.26	419.06	467.26	241.23	243.48	214.11	478.28	435.32
AT3G57550	412.73	294.66	217.43	159.19	489.26	419.06	467.26	241.23	243.48	214.11	478.28	435.32
